ID,Title,Content
2496,"Terranova <br/> Glucosamine, Boswellia & MSM Complex","TWO VEGETARIAN CAPSULES TYPICALLY PROVIDE:
<div class=""two-columns""><strong>MAGNIFOOD COMPLEX 420mg</strong>
PROVIDING:
Boswellia Resin 150mg
Stabilized Rice Bran 20mg
OptiMSM® (methylsulfonylmethane) 100mg
Nettle Leaf-fresh freeze dried 100mg
Turmeric Root-fresh freeze dried-ORGANIC 75mg
Ginger Rhizome/Rootfresh-freeze dried-ORGANIC 50mg
<strong>Celery</strong> Stalk &amp; Leaf-fresh freeze dried 25mg

Glucosamine (as HCl – vegetarian source) 500mg
Vitamin C (as Ca, Mg ascorbate) 50mg
Manganese (as bisglycinate chelate* TRAACS&#x2122;) 1.5mg
Selenium (as selenomethionine) 50ug
Molybdenum (as sodium molybdate) 50ug
Vegetarian Capsule Shell (hydroxypropyl methylcellulose)

<strong>* </strong><strong>TRAACS&#x2122; is a trademark of Albion Labs</strong>

<strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS</strong>
<strong>SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>
NO WHEAT – NO SOY – NO YEAST – NO DAIRY – NO GELATINE – NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS – NO PRESERVATIVES
<strong>Contains Celery</strong>

</div>"
2498,"Terranova <br/> Nettle Root, Lycopene & Zinc Complex","TWO VEGETARIAN CAPSULES TYPICALLY PROVIDE:
<div class=""two-columns""><strong>MAGNIFOOD COMPLEX 900mg</strong>
PROVIDING:
Nettle Root (fresh freeze dried) 250mg
Green <strong>Oat</strong> Seed [Avena sativa] (fresh freeze dried) 200mg
Pumpkin Seed (ORGANIC) 100mg
Prickly Pear Cactus Flower (ORGANIC) 100mg
Stabilized Rice Bran 100mg
Parsley Leaf (fresh freeze dried – ORGANIC) 50mg
Cornsilk (ORGANIC) 25mg
Acai Berry (fresh freeze dried – ORGANIC) 25mg
Watercress (fresh freeze dried) 25mg
Sea Buckthorn Berry (fresh freeze dried) 25mg

Lycopene (as tomato prep.) 15mg
Zinc (bisglycinate chelate* TRAACS&#x2122;) 10mg
Larch Tree Arabinogalactan [Larix Laricina] 2.75mg
Selenium (as selenomethionine) 50ug
Vegetarian Capsule Shell (hydroxypropyl methylcellulose)

<strong>*TRAACS&#x2122; is a trademark of Albion Labs</strong>

<strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS</strong>
<strong> SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>
NO WHEAT – NO SOY – NO YEAST – NO DAIRY – NO GELATINE – NO ANIMAL INGREDIENTS – NO ADDITIVES NO ADDED SUGAR – NO COLOURS – NO FLAVOURS – NO PRESERVATIVES
<strong>Contains Oat seed – consult physician if coeliac</strong></div>"
2499,"Terranova <br/> Pro-Peptase IRC Complex","EACH VEGETARIAN CAPSULE TYPICALLY PROVIDES:
<div class=""two-columns""><strong>MAGNIFOOD COMPLEX 225mg</strong>
PROVIDING:
Nettle Leaf [Urtica Dioica] (fresh freeze dried) 150mg
Hops Strobile [Humulus Lupulus] (fresh freeze dried) 50mg
Rosemary Leaf [Salvia Rosmarinus] (fresh freeze dried) 25mg

Protease/Peptidase Complex 20,000 units* (A. oryzae, A. melleus) 33mg
Resveratrol 10mg
Vegetarian Capsule Shell (hydroxypropyl methylcellulose)

<strong>*Serrazimes® - a vegetarian and vegan suitable proteolytic enzyme complex derived from the edible fungi Aspergillus oryzae & Aspergillus melleus. Serrazimes® is a registered trademark of National Enzyme Company</strong>

<strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS</strong>
<strong> SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>
NO WHEAT – NO SOY – NO YEAST – NO DAIRY – NO GELATINE – NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS – NO PRESERVATIVES</div>"
2501,"Terranova <br/> Quercetin Nettle Complex","TWO VEGETARIAN CAPSULES TYPICALLY PROVIDE:
<div class=""two-columns""><strong>MAGNIFOOD COMPLEX 375mg</strong>
PROVIDING:
Nettle Leaf [Urtica dioica] (fresh freeze dried) 300mg
Turmeric Root [Curcuma longa] (fresh freeze dried – ORGANIC) 50mg
Elderflower [Sambucus cerulea] (fresh freeze dried) 25mg

Quercetin (from Sophora japonica) 400mg
Vitamin C (as magnesium ascorbate) 150mg
Bromelain (1200GDU) 84mg
Vegetarian Capsule Shell (hydroxypropyl methylcellulose)

<strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS</strong>
<strong>SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>
NO WHEAT – NO SOY – NO YEAST – NO DAIRY – NO GELATINE – NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS – NO PRESERVATIVES</div>"
2503,"Terranova <br/> Smooth Synergy","TWO VEGETARIAN CAPSULES TYPICALLY PROVIDE:
<div class=""two-columns""><strong>MAGNIFOOD COMPLEX 730mg</strong>
PROVIDING:
Ashwagandha Root (ORGANIC) 200mg
Green <strong>Oat</strong> Seed [Avena sativa] (fresh freeze dried) 200mg
American Ginseng (fresh freeze dried) 100mg
Rhodiola Root Extract (freeze dried - aqueous extract) 100mg
Stabilized Rice Bran 100mg
Ginger Rhizome/Root (fresh freeze dried – ORGANIC) 25mg
Cayenne Fruit (ORGANIC) 5mg

Inositol 100mg
Magnesium (as oxide, citrate) 100mg
Pyridoxal 5-Phosphate (P 5-P) 2mg
Vitamin B12 (as methylcobalamin) 500ug
Vegetarian Capsule Shell (hydroxypropyl methylcellulose)

<strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS</strong>
<strong> SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>
NO WHEAT – NO SOY – NO YEAST – NO DAIRY – NO GELATINE – NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS – NO PRESERVATIVES
<strong>Contains Oat seed – consult physician if coeliac.</strong></div>"
2505,"Terranova <br/> Vibrant Synergy","TWO VEGETARIAN CAPSULES TYPICALLY PROVIDE:
<div class=""two-columns""><strong>MAGNIFOOD COMPLEX 1005mg</strong>
PROVIDING:
Chlorella [Chlorella pyrenoidosa] (fresh freeze dried – ORGANIC – broken cell wall) 250mg
Spirulina [Spirulina platensis] (fresh freeze dried – ORGANIC) 200mg
<strong>Wheat</strong> Grass Juice (fresh freeze dried – ORGANIC) 100mg
Siberian Ginseng (fresh freeze dried – ORGANIC) 100mg
Rhodiola Root Extract (freeze dried - aqueous extract) 100mg
Cordyceps (fresh freeze dried-ORGANIC) [Full-spectrum: providing all fungal components & extracellular compounds] 50mg
Reishi Mushroom (fresh freeze dried-ORGANIC) [Full-spectrum: providing all fungal components & extracellular compounds] 50mg
Ashwagandha Root (ORGANIC) 50mg
American Ginseng (fresh freeze dried) 50mg
Ginger Rhizome/Root (fresh freeze dried – ORGANIC) 25mg
Stabilized Rice Bran 20mg
Cayenne Fruit (ORGANIC) 10mg
Vegetarian Capsule Shell (hydroxypropyl methylcellulose)

<strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS</strong>
<strong> SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>
NO CORN – NO SOY – NO YEAST – NO DAIRY – NO GELATINE – NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS – NO PRESERVATIVES
<strong>Contains wheat grass – consult physician if coeliac.</strong></div>"
2718,"Terranova <br/> Holy Basil 400mg (Fresh Freeze Dried)","ONE VEGETARIAN CAPSULE TYPICALLY PROVIDES:
<div class=""two-columns"">
Holy Basil (Ocimum Tenuiflorum) - fresh freeze dried [Tulsi] 400mg
Vegetarian Capsule Shell (hydroxypropyl methylcellulose) 

<strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS</strong>
<strong> SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>
NO WHEAT – NO CORN – NO SOY – NO YEAST – NO DAIRY – NO GELATINE - NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS - NO PRESERVATIVES</div>
"
2720,"Terranova <br/> Reishi 500mg (Full-Spectrum, Fresh Freeze Dried, Organic)","ONE VEGETARIAN CAPSULE TYPICALLY PROVIDES:
<div>

Reishi Mushroom [Ganoderma Lucidum]-freeze dried-ORGANIC [Full-spectrum: providing all fungal components & extracellular compounds] 500mg
Vegetarian Capsule Shell (hydroxypropyl methylcellulose) 

<div><strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS</strong></div>
<strong>SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>
<div>NO WHEAT – NO CORN – NO SOY – NO YEAST – NO DAIRY – NO GELATINE - NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS - NO PRESERVATIVES</div>
</div>"
2724,"Terranova <br/> Avena Sativa & Tart Cherry Super Blend 40g size (Fresh Freeze Dried)","1/4 TEASPOON (APPROX. 1.25g) TYPICALLY PROVIDES
<div class=""two-columns"">

<strong>PHYTOFRESH COMPLEX 1.25g</strong>
PROVIDING:
Green Oat Seed (Avena Sativa) - fresh freeze dried 625mg
Montmorency Tart Cherry (Prunus cerasus) - fresh freeze dried) 625mg

<strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS
SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>
NO WHEAT – NO CORN - NO SOY – NO YEAST – NO DAIRY – NO GELATINE - NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS - NO PRESERVATIVES
<strong>Contains oat seed – consult physician if coeliac.</strong>

</div>"
2726,"Terranova <br/> Elderberry & Olive Leaf Super Blend 40g size (Fresh Freeze Dried)","½ TEASPOON (APPROX. 2.5g) TYPICALLY PROVIDES: 
<div class=""two-columns"">

<strong>PHYTOFRESH COMPLEX 2.5g</strong>
PROVIDING:
Elderberry Fruit (Sambucus Nigra spp. Cerulea) - fresh freeze dried 1900mg
Olive Leaf (Oleo Europaea)- fresh freeze dried 450mg
Elderflower (Sambucus Nigra spp. Cerulea) - fresh freeze dried 100mg
Ginger Rhizome/Root (Zingiber Officinale) - fresh freeze dried – organic 50mg


<strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS
SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>
NO WHEAT – NO CORN - NO SOY – NO YEAST – NO DAIRY – NO GELATINE - NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS - NO PRESERVATIVES

</div>"
2728,"Terranova <br/> Vitamin D3 1000iu (25µg) Complex","ONE VEGETARIAN CAPSULE TYPICALLY PROVIDES
<div class=""two-columns""><strong>MAGNIFOOD COMPLEX 300mg</strong>
PROVIDING:
Stabilised Rice Bran 200mg
Shiitake Mushroom [Lentinula Edodes]-fresh freeze dried-ORGANIC (Full-spectrum: primordia, mycelia, fruiting body & extra-cellular compounds) 50mg
Coriander Leaf [Coriandrum Sativum]-fresh freeze dried-ORGANIC 50mg
Spirulina [Spirulina Platensis]-fresh freeze dried-ORGANIC 50mg
Pumpkin Seed (Cucurbita Pepo)-ORGANIC50mg

Vitamin D3 (vegan cholecalciferol - from lichen) 1000iu / 25µg
Vegetarian Capsule Shell (hydroxypropyl methylcellulose) 

<strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS</strong>
<strong> SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>

<div>NO WHEAT – NO SOY – NO YEAST – NO DAIRY – NO GELATINE - NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS - NO PRESERVATIVES</div>
</div>
"
2731,"Terranova <br/> Vitamin D3 2000iu (50µg) Complex","ONE VEGETARIAN CAPSULE TYPICALLY PROVIDES
<div class=""two-columns""><strong>MAGNIFOOD COMPLEX 600mg</strong>
PROVIDING:
Stabilised Rice Bran 300mg
Shiitake Mushroom [Lentinula Edodes]-fresh freeze dried-ORGANIC (Full-spectrum: primordia, mycelia, fruiting body & extra-cellular compounds) 75mg
Coriander Leaf [Coriandrum Sativum]-fresh freeze dried-ORGANIC 75mg
Spirulina [Spirulina Platensis]-fresh freeze dried-ORGANIC  75mg
Pumpkin Seed [Cucurbita Pepo]-ORGANIC 75mg

Vitamin D3 (vegan cholecalciferol - from lichen) 2000iu / 50µg
Vegetarian Capsule Shell (hydroxypropyl methylcellulose) 

<strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS</strong>
<strong> SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>
<div>NO WHEAT – NO SOY – NO YEAST – NO DAIRY – NO GELATINE - NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS - NO PRESERVATIVES</div>
</div>

"
2733,"Terranova <br/> Vitamin E 200iu (134mg) Complex","ONE VEGETARIAN CAPSULE TYPICALLY PROVIDES
<div class=""two-columns""><strong>MAGNIFOOD COMPLEX 475mg</strong>
PROVIDING:
Stabilised Rice Bran 350mg
Spirulina [Spirulina Platensis]-fresh freeze dried-ORGANIC 50mg
Acai Berry [Euterpe Oleracea]-fresh freeze dried-ORGANIC 50mg
Sea Buckthorn [Hippophae Rhamnoides]-fresh freeze dried 25mg

Vitamin E (d-alpha tocopheryl succinate) 200iu/134mg
Larch Tree Arabinogalactan [Larix Laricina] 2.75mg
Vegetarian Capsule Shell (hydroxypropyl methylcellulose)

<strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS</strong>
<strong> SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>
<div>NO WHEAT – NO CORN - NO YEAST – NO DAIRY – NO GELATINE - NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS - NO PRESERVATIVES</div>
</div>"
2756,"Terranova <br/> Green Child Vitamin D3 400iu (10µg)","ONE VEGETARIAN CAPSULE TYPICALLY PROVIDES:
<div class=""two-columns"">
<strong>MAGNIFOOD COMPLEX 225mg</strong>
PROVIDING:
Stabilized Rice Bran Solubles 100mg
Coriander Leaf (Coriandrum Sativum)-fresh freeze dried-ORGANIC 50mg 
Pumpkin Seed (Cucurbita Pepo)-ORGANIC 50mg
Spirulina (Spirulina Platensis)-fresh freeze dried-ORGANIC 25mg 

Vitamin D3 (vegan cholecalciferol - from lichen 400iu 10ug
Vegetarian Capsule Shell (hydroxypropyl methylcellulose) 

<strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS</strong>
<strong> SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>
<div>NO WHEAT – NO SOY – NO YEAST – NO DAIRY – NO GELATINE - NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS - NO PRESERVATIVES</div>
</div>"
2758,"Terranova <br/> Green Child Living Multivitamin","<!-- wp:paragraph -->
<p>TWO VEGETARIAN CAPSULES TYPICALLY PROVIDE:</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<div class=""two-columns""><strong>MAGNIFOOD COMPLEX 290mg</strong><br />PROVIDING:<br />Spirulina [Spirulina Platensis]-fresh freeze dried-ORGANIC 100mg<br />Beetroot (Beta Vulgaris)-freeze dried-ORGANIC 50mg<br />Blackberry (Rubus Fruticosus)-fresh freeze dried-ORGANIC 50mg<br />Spinach (Spinacia Oleracea)-fresh freeze dried-ORGANIC 20mg<br />Broccoli Sprouts (Brassica Oleracea)-fresh freeze dried-ORGANIC 20mg<br />Watercress (Nasturtium Officinale)-fresh freeze dried 20mg<br />Dandelion Leaf (Taraxacum Officinalis)-fresh freeze dried 20mg<br />Stabilised Rice Bran Solubles 10mg
<p>&nbsp;</p>
<p>Vitamin C (as Ca, Mg ascorbate) 50mg<br />Calcium (as carbonate, ascorbate) 50mg<br />Magnesium (as oxide, ascorbate) 25mg<br />DHA (vegan source - from algal oil) 25mg<br />Niacinamide 8mg<br />Vitamin E (d-alpha tocopheryl succinate 7.5iu) 5mg<br />Pantothenic Acid (as calcium pantothenate) 5mg<br />Iron (as bisglycinate Chelate* [Ferrochel&#x2122;] 5mg<br />Zinc (bisglycinate chelate* TRAACS&#x2122;) 3mg<br />Vitamin B2 (riboflavin) 1mg<br />Vitamin B6 (as pyridoxine hydrochloride) 1mg<br />Vitamin B1 (as thiamine mononitrate) 0.8mg<br />Manganese (as bisglycinate chelate* TRAACS&#x2122;) 0.5mg<br />Vitamin A (as palmitate prep) 400ug<br />Copper (as gluconate) 0.3mg<br />Folate (as calcium l-methylfolate) 200ug<br />Iodine (as potassium iodide) 75ug<br />Biotin (as d-Biotin) 50ug<br />Selenium (as selenomethionine) 20ug<br />Chromium (as picolinate) 10ug<br />Vitamin K2 as MK-7 (<strong>‡</strong>MenaQ7®) 10ug<br />Vitamin D3 (vegan cholecalciferol from lichen 200iu) 5ug<br />Molybdenum (as sodium molybdate) 2.5ug<br />Vitamin B12 (as methylcobalamin) 2ug<br />Vegetarian Capsule Shell (hydroxypropyl methylcellulose)</p>
<p><strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS</strong><br /><strong> SUITABLE FOR VEGETARIANS &amp; VEGANS</strong></p>
<p><strong>‡ MenaQ7® is a registered trademark of Lesaffre et Compagnie, France</strong></p>
<p><strong>* TRAACS&#x2122; and Ferrochel&#x2122; are trademarks of Albion Labs</strong></p>
<div>NO WHEAT – NO SOY – NO YEAST – NO DAIRY – NO GELATINE - NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS - NO PRESERVATIVES</div>
</div>
<!-- /wp:html -->

<!-- wp:html /-->

<!-- wp:html --><!-- /wp:html -->

<!-- wp:html /-->"
2761,"Terranova <br/> Green Child Friendly Microflora","ONE VEGETARIAN CAPSULE TYPICALLY PROVIDES:
<div class=""two-columns""><strong>MAGNIFOOD COMPLEX 200mg</strong>
PROVIDING:
Stabilized Rice Bran Solubles 100mg
Beetroot [Beta Vulgaris] - fresh freeze dried - ORGANIC 50mg
Kale [Brassica Oleracea Var Acephala] - fresh freeze dried – ORGANIC 25mg
Spinach [Spinacia Oleracea] - fresh freeze dried – ORGANIC 25mg

FOS (fructo-oligosaccharides) 100mg

<strong>Microflora Blend 25mg</strong>
PROVIDING:
Lacticaseibacillus rhamnosus (Rosell-11) 500 million*
Lactobacillus acidophilus/helveticus (Rosell-52) 500 million*
Bifidobacterium lactis (CHR Hansen BB-12) 500 million*
Vegetarian Capsule Shell (hydroxypropyl methylcellulose) 

*Colony Forming Units potency at the time of manufacture

<strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS</strong>
<strong> SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>
<div>NO WHEAT – NO YEAST – NO DAIRY – NO GELATINE - NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS - NO PRESERVATIVES</div>
<strong>Contains traces of soya</strong>

</div>"
2763,"Terranova <br/> Green Child Sneaky Greens Super Shake 180g","1 SCOOP (APPROX. 4g) TYPICALLY PROVIDES:
<div class=""two-columns"">Kale [Brassica oleracea var acephala]-fresh freeze dried-ORGANIC 500mg
Lucuma Fruit [Pouteria Lucuma] 1495mg
Carrot [Daucus Carota]-fresh freeze dried-ORGANIC 500mg
Broccoli [Brassica Oleracea]-fresh freeze dried-ORGANIC 300mg
Spinach [Spinacia Oleracea]-fresh freeze dried-ORGANIC 200mg
Beetroot [Beta Vulgaris]-fresh freeze dried-ORGANIC 300mg
Blackberry [Rubus Fruticosus]-fresh freeze dried-ORGANIC 200mg
Green <strong>Barley</strong> Grass [Hordeum Vulgare]-fresh freeze dried-ORGANIC 100mg
Watercress [Nasturtium Officinale]-fresh freeze dried 50mg
Red Raspberry [Rubus Idaeus]-fresh freeze dried-ORGANIC 50mg
Aronia Berry [Aronia Melanocarpa]-fresh freeze dried-ORGANIC 50mg
Cranberry Fruit [Vaccinium Macrocarpon]-fresh freeze dried-ORGANIC 50mg
Bilberry Fruit [Vaccinium Myrtillus]-fresh freeze dried-ORGANIC 50mg
Acai Berry [Euterpe Oleracea]-fresh freeze dried-ORGANIC 50mg
<strong>Wheat</strong> Grass Juice [Triticum Aestivum]-fresh freeze dried-ORGANIC 50mg
Spirulina [Spirulina Platensis]-fresh freeze dried-ORGANIC 50mg

<strong>Microflora 5mg</strong>
Lacticaseibacillus rhamnosus (Rosell-11) 100 million*
Lactobacillus acidophilus/helveticus (Rosell-52) 100 million*
Bifidobacterium lactis (CHR Hansen BB-12) 100 million*
*Colony Forming Units potency at the time of manufacture

<strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS</strong>
<strong> SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>
<div>NO YEAST – NO DAIRY – NO GELATINE – NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS – NO PRESERVATIVES</div>
<strong>Contains wheat grass and barley grass – consult physician if coeliac.
Contains traces of soya</strong>

</div>"
2765,"Terranova <br/> Intense Berries Super Shake 224g","1 SCOOP (APPROX. 8g) TYPICALLY PROVIDES:
<div class=""two-columns"">
<strong>RICE BRAN ACTIVES 4g</strong>
Stabilized Rice Bran Solubles 4g

<strong>CEREAL GRASSES 1715mg</strong>
<strong>Wheat</strong> Grass Juice [Triticum aestivum]-fresh freeze dried-ORGANIC (Equivalent to a 28ml wheat grass juice shot) 1200mg
Green <strong>Barley</strong> Grass [Hordeum vulgare]-fresh freeze dried-ORGANIC 515mg

<strong>FRESH FREEZE DRIED BERRIES 1000mg</strong>
Blackberry Fruit [Rubus Fruticosus]-fresh freeze dried-ORGANIC 250mg
Red Raspberry [Rubus Idaeus]-fresh freeze dried-ORGANIC 150mg
Aronia Berry [Aronia Melanocarpa]-fresh freeze dried-ORGANIC 150mg
Cranberry Fruit [Vaccinium Macrocarpon]-fresh freeze dried-ORGANIC 150mg
Acai Berry [Euterpe Oleracea]-fresh freeze dried-ORGANIC 150mg
Sea Buckthorn Berry [Hippophae Rhamnoides]-fresh freeze dried 50mg
Bilberry Fruit [Vaccinium Myrtillus]-fresh freeze dried-ORGANIC 50mg
Black Elderberry [Sambucus Nigra]-fresh freeze dried 25mg
Strawberry [Fragaria Ananassa]-fresh freeze dried-ORGANIC 25mg

Lucuma Fruit [Pouteria Lucuma] 750mg
Spirulina [Spirulina Platensis]-fresh freeze dried-ORGANIC 500mg

<strong>MICROFLORA 15mg</strong>
Lactiplantibacillus plantarum 79.7 Million*
Lacticaseibacillus paracasei 63.8 Million *
Lacticaseibacillus rhamnosus 55.9 Million *
Lactobacillus Acidophilus/helveticus 39.9 Million *
Bifidobacterium Lactis 39.9 Million*

<strong>DIGESTIVE ENZYMES 10mg</strong>
Protease (A. oryzae) 14,690 HUT 3.45mg
Amylase (A. oryzae) 2,545 DU 2.12mg
Lactase (A. oryzae) 727 ALU 0.91mg
Glucoamylase (A. niger) 6.5 AGU 0.91mg
Alpha Galactosidase (A. niger) 109 GalU 0.91mg
Protease (A. niger) 36 SAPU 0.86mg
Invertase (S. cerevisiae) 291 SU 0.42mg
Lipase (C. rugosa) 349 FIP 0.24mg
Glucoamylase (R. oryzae) 0.72 AGU 0.14mg
Lipase (A. niger) 7.27 FIP 0.02mg
Lipase (R. oryzae) 7.27 FIP 0.02mg

Larch Tree Arabinogalactan (Larix laricina) 10mg

* Organisms - potency at time of manufacture

<strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS</strong>
<strong> SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>
<div>NO DAIRY – NO GELATINE - NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS - NO PRESERVATIVES</div>
<strong>Contains traces of soya
Contains wheat grass and barley grass – consult physician if coeliac.</strong>
</div>"
2767,"Terranova <br/> Intense Greens Super Shake 224g","1 SCOOP (APPROX. 8g) TYPICALLY PROVIDES:
<div class=""two-columns""><strong>RICE BRAN ACTIVES 4g</strong>
Stabilized Rice Bran Solubles 4g

<strong>CEREAL GRASSES 1700mg</strong>
<strong>Wheat</strong> Grass Juice [Triticum aestivum]-fresh freeze dried-ORGANIC (Equivalent to a 28ml wheat grass juice shot) 1200mg
Green <strong>Barley</strong> Grass [Hordeum vulgare]-fresh freeze dried-ORGANIC 500mg

<strong>MICROALGAE 1500mg</strong>
Spirulina [Spirulina platensis]-fresh freeze dried-ORGANIC 1250mg
Chlorella [Chlorella pyrenoidosa]-fresh freeze dried-ORGANIC-broken cell wall 250mg

<strong>FRESH FREEZE DRIED GREENS 775mg</strong>
Kale [Brassica oleracea var acephala]-fresh freeze dried-ORGANIC 225mg
Nettle Leaf [Urtica Dioica)]-fresh freeze dried 100mg
Parsley Leaf ([Petroselinum crispum]-fresh freeze dried-ORGANIC 100mg
Spinach [Spinacia oleracea]-fresh freeze dried-ORGANIC 100mg
Watercress [Nasturtium officinale]-fresh freeze dried 100mg
Dandelion Leaf [Taraxacum officinalis]-fresh freeze dried 50mg
Broccoli Sprout [Brassica oleracea]-fresh freeze dried 50mg
Coriander Leaf [Coriandrum sativum]-fresh freeze dried-ORGANIC 50mg

<strong>MICROFLORA 15mg</strong>
Lactiplantibacillus plantarum 79.7 Million *
Lacticaseibacillus paracasei 63.8 Million *
Lacticaseibacillus rhamnosus 55.9 Million *
Lactobacillus Acidophilus/helveticus 39.9 Million *
Bifidobacterium Lactis 39.9 Million *

<strong>DIGESTIVE ENZYMES 10mg</strong>
Protease (A. oryzae) 14,690 HUT 3.45mg
Amylase (A. oryzae) 2,545 DU 2.12mg
Lactase (A. oryzae) 727 ALU 0.91mg
Glucoamylase (A. niger) 6.5 AGU 0.91mg
Alpha Galactosidase (A. niger) 109 GalU 0.86mg
Protease (A. niger) 36 SAPU 0.42mg
Invertase (S. cerevisiae) 291 SU 0.24mg
Lipase (C. rugosa) 349 FIP 0.14mg
Lipase (A. niger) 7.27 FIP 0.02mg
Lipase (R. oryzae) 7.27 FIP 0.02mg

*Organisms - potency at time of manufacture.

<strong>NO FILLERS, BINDERS OR OTHER EXCIPIENTS</strong>
<strong> SUITABLE FOR VEGETARIANS &amp; VEGANS</strong>
<div>NO DAIRY – NO GELATINE - NO ANIMAL INGREDIENTS – NO ADDITIVES – NO ADDED SUGAR – NO COLOURS – NO FLAVOURS - NO PRESERVATIVES</div>
<strong>Contains traces of soya
Contains wheat grass and barley grass – consult physician if coeliac.</strong>

</div>"
